customerID,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,support_calls,num_products,autopay,senior_citizen,gender,partner,dependents,paperless_billing,churn,tenure_bucket,high_monthly_flag,support_per_month,churn_label,tenure,monthly_charges,contract,payment_method,internet_service,support_calls,num_products,autopay,senior_citizen,gender,partner,dependents,paperless_billing,tenure_bucket,high_monthly_flag,support_per_month,actual_churn,pred_proba_rf,pred_proba_lr,pred_rf,pred_lr,revenue_loss_estimate
CUST100010,0,39.12,-2.31,One year,Credit card,DSL,1,1,1,0,Male,1,1,1,0,0-3,0,1.0,No,7.0,87.53,Two year,Bank transfer,DSL,0.0,2.0,1.0,0.0,Female,0.0,0.0,1.0,7-12,0.0,0.0,0.0,0.14,0.1954397191437523,0.0,0.0,36.762600000000006
CUST100011,42,29.42,1241.35,Two year,Electronic check,Fiber optic,0,2,0,0,Female,0,0,1,0,25-60,0,0.0,No,30.0,47.43,Month-to-month,Electronic check,Fiber optic,0.0,1.0,1.0,0.0,Male,1.0,0.0,1.0,25-60,0.0,0.0,0.0,0.07,0.0593279911499508,0.0,0.0,9.960300000000002
CUST100012,21,24.33,514.02,Month-to-month,Bank transfer,No,1,1,0,0,Male,0,0,1,0,13-24,0,0.047619048,No,2.0,86.57,Month-to-month,Credit card,Fiber optic,1.0,3.0,1.0,0.0,Male,1.0,1.0,1.0,0-3,0.0,0.5,0.0,0.25,0.3705266593452682,0.0,0.0,64.9275
CUST100013,2,103.38,160.38,Month-to-month,Mailed check,No,0,1,1,0,Female,0,0,1,0,0-3,1,0.0,No,3.0,47.84,One year,Electronic check,No,0.0,2.0,1.0,0.0,Female,0.0,1.0,1.0,0-3,0.0,0.0,0.0,0.07,0.0638150979297592,0.0,0.0,10.046400000000002
CUST100014,2,51.12,92.73,One year,Bank transfer,DSL,1,1,1,0,Female,0,0,1,0,0-3,0,0.5,No,1.0,68.84,Two year,Electronic check,DSL,1.0,1.0,1.0,0.0,Male,1.0,0.0,1.0,0-3,0.0,1.0,0.0,0.21,0.1415543065718594,0.0,0.0,43.3692
CUST100015,2,116.01,157.15,Two year,Electronic check,Fiber optic,0,3,1,0,Female,1,0,1,1,0-3,1,0.0,Yes,18.0,108.03,Month-to-month,Mailed check,DSL,5.0,2.0,0.0,0.0,Female,1.0,1.0,1.0,13-24,1.0,0.2777777777777778,1.0,0.68,0.7466037379184757,1.0,1.0,220.38120000000004
CUST100016,4,53.93,283.88,One year,Mailed check,Fiber optic,2,3,1,0,Male,0,0,1,0,04-Jun,0,0.5,No,8.0,36.48,Month-to-month,Electronic check,DSL,0.0,1.0,1.0,1.0,Female,1.0,0.0,1.0,7-12,0.0,0.0,0.0,0.09,0.079420511884197,0.0,0.0,9.8496
CUST100017,8,18.78,135.06,Two year,Electronic check,DSL,5,1,1,1,Female,1,0,0,0,07-Dec,0,0.625,No,5.0,76.99,Month-to-month,Credit card,Fiber optic,0.0,1.0,1.0,0.0,Female,1.0,1.0,1.0,4-6,0.0,0.0,1.0,0.33,0.2798877833808035,0.0,0.0,76.2201
CUST100018,6,36.5,194.56,Month-to-month,Credit card,Fiber optic,0,1,1,0,Female,1,0,1,0,04-Jun,0,0.0,No,0.0,70.47,Month-to-month,Bank transfer,No,1.0,1.0,1.0,0.0,Female,1.0,0.0,0.0,0-3,0.0,1.0,0.0,0.44,0.1987063752109319,0.0,0.0,93.0204
CUST100019,4,107.07,507.73,One year,Credit card,Fiber optic,3,1,1,0,Female,1,0,0,0,04-Jun,1,0.75,No,3.0,92.72,Month-to-month,Mailed check,DSL,1.0,2.0,0.0,0.0,Female,0.0,0.0,0.0,0-3,1.0,0.3333333333333333,1.0,0.54,0.5484658027190439,1.0,1.0,150.2064
CUST100020,11,65.32,656.41,Month-to-month,Electronic check,No,1,1,1,0,Male,0,0,1,0,07-Dec,0,0.090909091,No,6.0,83.9,Month-to-month,Bank transfer,Fiber optic,0.0,1.0,1.0,0.0,Male,0.0,0.0,1.0,4-6,0.0,0.0,0.0,0.26,0.2447699545777593,0.0,0.0,65.44200000000001
CUST100021,1,53.55,-2.73,Month-to-month,Mailed check,DSL,1,2,1,0,Female,0,1,0,1,0-3,0,1.0,Yes,27.0,81.69,Month-to-month,Mailed check,Fiber optic,0.0,2.0,1.0,0.0,Male,0.0,0.0,0.0,25-60,0.0,0.0,0.0,0.11,0.1206674106581617,0.0,0.0,26.9577
CUST100022,4,74.8,244.39,Month-to-month,Electronic check,DSL,1,1,1,0,Female,1,0,0,0,04-Jun,0,0.25,No,3.0,71.38,Month-to-month,Electronic check,DSL,1.0,1.0,1.0,0.0,Male,1.0,0.0,1.0,0-3,0.0,0.3333333333333333,0.0,0.09,0.2341333855819952,0.0,0.0,19.2726
CUST100023,5,85.05,421.86,Month-to-month,Bank transfer,No,2,1,1,0,Male,1,0,0,0,04-Jun,0,0.4,No,7.0,63.35,Two year,Electronic check,Fiber optic,2.0,1.0,1.0,0.0,Female,0.0,1.0,0.0,7-12,0.0,0.2857142857142857,1.0,0.09,0.0980323187480623,0.0,0.0,17.1045
CUST100024,7,103.52,746.22,Two year,Bank transfer,Fiber optic,2,2,0,0,Male,0,0,1,0,07-Dec,1,0.285714286,No,0.0,71.41,Month-to-month,Mailed check,Fiber optic,2.0,2.0,1.0,0.0,Female,1.0,1.0,1.0,0-3,0.0,2.0,0.0,0.29,0.3262831922202505,0.0,0.0,62.12669999999999
CUST100025,18,113.45,2079.08,Two year,Electronic check,No,1,1,0,0,Female,1,0,0,1,13-24,1,0.055555556,Yes,26.0,123.54,Month-to-month,Mailed check,Fiber optic,1.0,1.0,1.0,0.0,Male,0.0,0.0,1.0,25-60,1.0,0.0384615384615384,1.0,0.45,0.4808780554107765,0.0,0.0,166.779
CUST100026,2,59.21,247.02,Month-to-month,Bank transfer,DSL,0,1,1,0,Female,1,0,1,0,0-3,0,0.0,No,6.0,8.1,Two year,Credit card,Fiber optic,1.0,1.0,0.0,0.0,Male,1.0,1.0,0.0,4-6,0.0,0.1666666666666666,0.0,0.08,0.0327142251357797,0.0,0.0,1.944
CUST100027,8,30.22,129.29,Month-to-month,Electronic check,Fiber optic,1,1,1,0,Female,0,0,0,0,07-Dec,0,0.125,No,6.0,62.92,Month-to-month,Bank transfer,DSL,0.0,1.0,0.0,0.0,Male,0.0,0.0,0.0,4-6,0.0,0.0,0.0,0.23,0.1938887254717003,0.0,0.0,43.4148
CUST100028,10,57.6,606.44,Month-to-month,Bank transfer,Fiber optic,1,2,1,0,Male,1,1,0,0,07-Dec,0,0.1,No,26.0,62.76,Two year,Bank transfer,Fiber optic,1.0,1.0,1.0,0.0,Male,0.0,0.0,1.0,25-60,0.0,0.0384615384615384,0.0,0.01,0.0708265374561846,0.0,0.0,1.8828
CUST100029,0,77.81,-27.86,Month-to-month,Electronic check,DSL,3,1,1,0,Male,0,0,0,1,0-3,0,3.0,Yes,1.0,100.75,Month-to-month,Mailed check,Fiber optic,0.0,3.0,1.0,0.0,Female,0.0,0.0,1.0,0-3,1.0,0.0,1.0,0.36,0.5012602436523743,0.0,1.0,108.81
CUST100030,11,41.09,422.67,One year,Bank transfer,Fiber optic,0,1,0,0,Male,0,0,0,0,07-Dec,0,0.0,No,25.0,68.65,Two year,Mailed check,No,1.0,3.0,1.0,1.0,Male,1.0,0.0,1.0,25-60,0.0,0.04,0.0,0.05,0.0726971118174614,0.0,0.0,10.2975
CUST100031,2,41.29,51.59,Two year,Mailed check,Fiber optic,1,1,0,0,Male,0,1,1,0,0-3,0,0.5,No,2.0,69.57,Month-to-month,Mailed check,Fiber optic,2.0,1.0,0.0,0.0,Male,0.0,0.0,1.0,0-3,0.0,1.0,0.0,0.32,0.4133443620229982,0.0,0.0,66.7872
CUST100032,0,80.31,-45.44,Two year,Mailed check,DSL,1,3,1,0,Male,0,0,0,0,0-3,0,1.0,No,67.0,92.79,Month-to-month,Mailed check,No,0.0,3.0,0.0,1.0,Female,1.0,0.0,0.0,60+,1.0,0.0,0.0,0.51,0.1827592011016096,1.0,0.0,141.9687
CUST100033,35,68.54,2483.13,One year,Bank transfer,DSL,1,1,1,0,Female,0,1,0,0,25-60,0,0.028571429,No,1.0,118.89,Two year,Mailed check,Fiber optic,0.0,1.0,0.0,0.0,Female,1.0,0.0,1.0,0-3,1.0,0.0,1.0,0.73,0.6548567134571194,1.0,1.0,260.3691
CUST100034,40,70.98,2881.31,Two year,Electronic check,Fiber optic,4,3,1,0,Female,1,0,0,0,25-60,0,0.1,No,9.0,34.78,Month-to-month,Bank transfer,Fiber optic,1.0,1.0,1.0,0.0,Female,0.0,0.0,0.0,7-12,0.0,0.1111111111111111,0.0,0.03,0.0626423281409877,0.0,0.0,3.1302000000000003
CUST100035,19,47.25,898.91,Month-to-month,Bank transfer,Fiber optic,2,2,0,0,Male,1,0,0,0,13-24,0,0.105263158,No,0.0,87.22,Month-to-month,Mailed check,DSL,2.0,2.0,0.0,0.0,Female,0.0,0.0,0.0,0-3,0.0,2.0,1.0,0.37,0.5217586081594392,0.0,1.0,96.8142
CUST100036,4,63.09,319.91,Month-to-month,Credit card,No,0,2,1,0,Female,1,0,1,0,04-Jun,0,0.0,No,13.0,119.05,Month-to-month,Mailed check,Fiber optic,0.0,1.0,1.0,0.0,Female,1.0,0.0,0.0,13-24,1.0,0.0,1.0,0.21,0.4238400579556905,0.0,0.0,75.0015
CUST100037,1,42.27,-33.36,Month-to-month,Credit card,DSL,0,1,0,0,Male,1,0,1,0,0-3,0,0.0,No,6.0,80.81,Month-to-month,Mailed check,DSL,3.0,2.0,1.0,0.0,Male,1.0,0.0,0.0,4-6,0.0,0.5,0.0,0.54,0.2296278987098276,1.0,0.0,130.9122
CUST100038,13,96.71,1190.69,One year,Electronic check,DSL,2,1,1,0,Female,0,1,0,0,13-24,1,0.153846154,No,11.0,58.76,Month-to-month,Electronic check,Fiber optic,0.0,1.0,1.0,0.0,Male,0.0,0.0,1.0,7-12,0.0,0.0,0.0,0.16,0.1114040515739605,0.0,0.0,28.2048
CUST100039,6,101.06,497.46,One year,Bank transfer,No,0,1,1,0,Female,0,0,0,0,04-Jun,1,0.0,No,4.0,45.85,Two year,Credit card,DSL,1.0,2.0,1.0,0.0,Female,1.0,0.0,1.0,4-6,0.0,0.25,0.0,0.08,0.0892918008137829,0.0,0.0,11.004
CUST100040,1,14.61,-20.36,Month-to-month,Bank transfer,No,2,1,1,0,Male,1,0,1,0,0-3,0,2.0,No,24.0,110.67,Month-to-month,Mailed check,No,1.0,1.0,0.0,0.0,Male,0.0,0.0,0.0,13-24,1.0,0.0416666666666666,0.0,0.47,0.4271557944539266,0.0,0.0,156.04469999999998
CUST100041,8,42.11,344.96,Month-to-month,Mailed check,DSL,1,3,1,0,Male,1,0,0,0,07-Dec,0,0.125,No,58.0,67.63,Month-to-month,Electronic check,Fiber optic,0.0,3.0,0.0,0.0,Female,0.0,0.0,0.0,25-60,0.0,0.0,0.0,0.19,0.1053852416659912,0.0,0.0,38.5491
CUST100042,0,25.1,5.14,Month-to-month,Electronic check,Fiber optic,1,1,1,0,Female,0,0,1,0,0-3,0,1.0,No,7.0,117.95,Month-to-month,Electronic check,Fiber optic,1.0,2.0,0.0,0.0,Female,0.0,0.0,1.0,7-12,1.0,0.1428571428571428,0.0,0.7,0.7287633195270378,1.0,1.0,247.695
CUST100043,28,50.5,1421.47,Two year,Credit card,DSL,0,1,0,1,Female,1,1,1,0,25-60,0,0.0,No,2.0,138.45,Two year,Mailed check,Fiber optic,2.0,1.0,0.0,1.0,Female,1.0,0.0,1.0,0-3,1.0,1.0,0.0,0.86,0.8174183001245046,1.0,1.0,357.201
CUST100044,3,67.5,131.95,Month-to-month,Credit card,DSL,0,1,1,0,Female,0,0,0,0,0-3,0,0.0,No,4.0,30.49,Month-to-month,Bank transfer,No,3.0,1.0,1.0,0.0,Male,1.0,0.0,0.0,4-6,0.0,0.75,0.0,0.16,0.0568235848166092,0.0,0.0,14.6352
CUST100045,13,26.51,384.79,One year,Electronic check,DSL,0,2,0,0,Female,1,1,0,0,13-24,0,0.0,No,2.0,71.14,Month-to-month,Credit card,DSL,0.0,1.0,1.0,0.0,Female,1.0,0.0,1.0,0-3,0.0,0.0,0.0,0.3,0.2866160092636067,0.0,0.0,64.026
CUST100046,4,42.34,181.34,One year,Credit card,DSL,0,1,1,1,Male,1,1,0,0,04-Jun,0,0.0,No,8.0,55.07,Two year,Mailed check,Fiber optic,1.0,3.0,0.0,0.0,Male,0.0,1.0,1.0,7-12,0.0,0.125,0.0,0.07,0.1405231315658833,0.0,0.0,11.5647
CUST100047,8,39.88,355.69,Month-to-month,Electronic check,No,0,1,1,0,Female,0,0,1,0,07-Dec,0,0.0,No,10.0,57.54,Two year,Bank transfer,Fiber optic,1.0,1.0,0.0,0.0,Female,1.0,1.0,1.0,7-12,0.0,0.1,0.0,0.15,0.1748939207744779,0.0,0.0,25.893
CUST100048,9,76.22,591.34,One year,Credit card,Fiber optic,0,1,1,0,Male,0,0,0,0,07-Dec,0,0.0,No,69.0,13.51,One year,Bank transfer,No,2.0,1.0,1.0,0.0,Male,1.0,1.0,1.0,60+,0.0,0.0289855072463768,0.0,0.03,0.0059087166456283,0.0,0.0,1.2159
CUST100049,2,72.08,159.73,Two year,Credit card,No,1,2,0,0,Female,1,0,1,0,0-3,0,0.5,No,30.0,40.45,One year,Mailed check,Fiber optic,1.0,1.0,0.0,0.0,Male,0.0,0.0,1.0,25-60,0.0,0.0333333333333333,0.0,0.06,0.0511246786231914,0.0,0.0,7.281000000000001
CUST100050,41,48.35,1922.96,Month-to-month,Electronic check,Fiber optic,2,1,0,0,Male,0,0,1,0,25-60,0,0.048780488,No,26.0,63.25,One year,Credit card,Fiber optic,2.0,2.0,1.0,1.0,Female,0.0,1.0,0.0,25-60,0.0,0.0769230769230769,0.0,0.15,0.0678296930987263,0.0,0.0,28.4625
CUST100051,17,75.3,1260.23,Two year,Electronic check,Fiber optic,0,1,0,0,Male,0,0,0,0,13-24,0,0.0,No,16.0,21.06,One year,Bank transfer,No,0.0,1.0,1.0,1.0,Female,0.0,0.0,1.0,13-24,0.0,0.0,0.0,0.23,0.0186569741106305,0.0,0.0,14.5314
CUST100052,33,53.6,1795.52,Month-to-month,Credit card,Fiber optic,0,1,0,0,Male,0,1,0,0,25-60,0,0.0,No,16.0,78.08,One year,Credit card,Fiber optic,0.0,1.0,0.0,0.0,Male,0.0,0.0,1.0,13-24,0.0,0.0,0.0,0.22,0.1735078586115689,0.0,0.0,51.5328
CUST100053,27,61.85,1674.5,Month-to-month,Credit card,No,2,3,0,0,Female,1,0,1,0,25-60,0,0.074074074,No,0.0,40.76,Month-to-month,Bank transfer,Fiber optic,0.0,1.0,1.0,1.0,Male,0.0,1.0,1.0,0-3,0.0,0.0,1.0,0.47,0.112529945954263,0.0,0.0,57.4716
CUST100054,10,120.2,1159.42,Two year,Mailed check,Fiber optic,2,1,1,0,Female,1,0,0,0,07-Dec,1,0.2,No,11.0,107.85,Month-to-month,Mailed check,No,2.0,3.0,0.0,0.0,Male,1.0,0.0,0.0,7-12,1.0,0.1818181818181818,0.0,0.32,0.4923605308988847,0.0,0.0,103.536
CUST100055,30,110.21,3306.61,Two year,Bank transfer,Fiber optic,4,2,1,0,Male,1,0,0,0,25-60,1,0.133333333,No,1.0,25.69,Month-to-month,Bank transfer,DSL,3.0,1.0,1.0,0.0,Female,0.0,1.0,0.0,0-3,0.0,3.0,0.0,0.1,0.0909347634326716,0.0,0.0,7.707000000000001
CUST100056,1,31.01,-45.57,Two year,Electronic check,No,1,2,1,0,Female,1,0,1,0,0-3,0,1.0,No,30.0,110.21,Two year,Bank transfer,Fiber optic,4.0,2.0,1.0,0.0,Male,1.0,0.0,0.0,25-60,1.0,0.1333333333333333,0.0,0.46,0.252527259345761,0.0,0.0,152.0898
CUST100057,2,94.89,247.29,One year,Electronic check,DSL,3,1,0,0,Male,1,0,0,0,0-3,1,1.5,No,23.0,35.29,Two year,Credit card,DSL,1.0,1.0,1.0,0.0,Male,0.0,0.0,0.0,13-24,0.0,0.0434782608695652,0.0,0.03,0.0255560035439326,0.0,0.0,3.1761
CUST100058,0,94.34,-10.26,Two year,Bank transfer,Fiber optic,0,1,0,0,Male,0,0,1,1,0-3,1,0.0,Yes,12.0,66.68,Month-to-month,Bank transfer,DSL,2.0,1.0,1.0,1.0,Male,0.0,1.0,1.0,7-12,0.0,0.1666666666666666,0.0,0.08,0.1854233531483676,0.0,0.0,16.0032
CUST100059,4,35.55,198.13,Two year,Mailed check,No,0,1,0,0,Male,1,0,0,0,04-Jun,0,0.0,No,15.0,85.43,Month-to-month,Credit card,DSL,0.0,2.0,1.0,0.0,Male,0.0,0.0,0.0,13-24,0.0,0.0,0.0,0.2,0.1767959661983959,0.0,0.0,51.25800000000001
CUST100060,5,94.56,446.47,Two year,Credit card,No,2,1,0,0,Male,0,0,1,1,04-Jun,1,0.4,Yes,0.0,103.12,Month-to-month,Credit card,DSL,0.0,2.0,1.0,0.0,Female,0.0,0.0,1.0,0-3,1.0,0.0,0.0,0.69,0.561343771401873,1.0,1.0,213.4584
CUST100061,3,116.14,322.24,One year,Credit card,DSL,1,1,0,0,Male,0,0,1,0,0-3,1,0.333333333,No,25.0,67.06,Month-to-month,Mailed check,DSL,0.0,3.0,0.0,0.0,Female,0.0,0.0,0.0,25-60,0.0,0.0,0.0,0.18,0.1916431732828845,0.0,0.0,36.2124
CUST100062,21,36.32,724.51,Month-to-month,Mailed check,Fiber optic,0,1,0,0,Female,1,1,0,0,13-24,0,0.0,No,37.0,69.79,Month-to-month,Bank transfer,DSL,2.0,3.0,1.0,0.0,Female,0.0,0.0,1.0,25-60,0.0,0.054054054054054,0.0,0.15,0.1636148731763531,0.0,0.0,31.405500000000004
CUST100063,5,42.47,256.16,Two year,Mailed check,Fiber optic,1,1,1,0,Male,0,0,0,0,04-Jun,0,0.2,No,2.0,117.96,Two year,Mailed check,No,1.0,2.0,1.0,0.0,Female,0.0,1.0,1.0,0-3,1.0,0.5,0.0,0.36,0.4936903903779548,0.0,0.0,127.39679999999998
CUST100064,3,100.53,266.12,Month-to-month,Bank transfer,DSL,3,1,1,0,Female,1,1,0,1,0-3,1,1.0,Yes,0.0,44.1,Two year,Mailed check,Fiber optic,1.0,1.0,0.0,0.0,Male,0.0,1.0,0.0,0-3,0.0,1.0,0.0,0.12,0.107268915385548,0.0,0.0,15.876
CUST100065,9,78.14,735.49,Month-to-month,Bank transfer,Fiber optic,2,2,1,0,Female,0,0,1,0,07-Dec,0,0.222222222,No,25.0,12.58,One year,Electronic check,Fiber optic,2.0,2.0,1.0,0.0,Male,0.0,0.0,0.0,25-60,0.0,0.08,0.0,0.02,0.0101385941607559,0.0,0.0,0.7547999999999999
CUST100066,1,86.54,67.42,Month-to-month,Credit card,DSL,1,2,1,0,Female,1,1,1,0,0-3,0,1.0,No,32.0,53.41,Month-to-month,Electronic check,Fiber optic,1.0,1.0,1.0,0.0,Female,0.0,0.0,0.0,25-60,0.0,0.03125,0.0,0.02,0.0716557644393352,0.0,0.0,3.2046
CUST100067,19,80.22,1425.38,One year,Mailed check,DSL,0,1,0,0,Male,0,0,0,0,13-24,0,0.0,No,3.0,50.75,One year,Bank transfer,DSL,1.0,1.0,0.0,0.0,Female,0.0,0.0,1.0,0-3,0.0,0.3333333333333333,0.0,0.16,0.1630648565248245,0.0,0.0,24.360000000000003
CUST100068,0,81.72,-28.52,Month-to-month,Mailed check,Fiber optic,2,1,1,1,Female,0,1,1,0,0-3,0,2.0,No,0.0,82.85,Month-to-month,Credit card,Fiber optic,1.0,1.0,0.0,0.0,Female,1.0,1.0,0.0,0-3,0.0,1.0,0.0,0.48,0.4915138164587749,0.0,0.0,119.30399999999996
CUST100069,52,30.21,1511.96,Month-to-month,Credit card,Fiber optic,0,2,0,1,Female,0,1,1,0,25-60,0,0.0,No,14.0,71.04,Two year,Electronic check,Fiber optic,1.0,1.0,1.0,0.0,Female,0.0,0.0,1.0,13-24,0.0,0.0714285714285714,0.0,0.11,0.1279971538002755,0.0,0.0,23.443200000000004
CUST100070,17,101.42,1725.84,Two year,Credit card,Fiber optic,1,2,0,0,Female,0,1,1,1,13-24,1,0.058823529,Yes,7.0,102.16,Two year,Electronic check,Fiber optic,0.0,1.0,0.0,0.0,Male,0.0,0.0,1.0,7-12,1.0,0.0,0.0,0.38,0.3908196278639455,0.0,0.0,116.4624
CUST100071,2,105.09,150.66,Month-to-month,Credit card,Fiber optic,0,3,0,0,Female,0,1,0,1,0-3,1,0.0,Yes,19.0,43.4,One year,Electronic check,Fiber optic,3.0,2.0,1.0,0.0,Male,1.0,0.0,0.0,13-24,0.0,0.1578947368421052,1.0,0.03,0.0296805072780859,0.0,0.0,3.906
CUST100072,0,63.12,46.3,One year,Credit card,DSL,0,1,0,0,Male,1,0,1,0,0-3,0,0.0,No,14.0,52.32,Month-to-month,Electronic check,Fiber optic,1.0,3.0,1.0,1.0,Male,0.0,1.0,0.0,13-24,0.0,0.0714285714285714,1.0,0.06,0.0778563030394164,0.0,0.0,9.4176
CUST100073,20,68.7,1369.45,Month-to-month,Credit card,DSL,1,1,1,0,Female,1,0,1,0,13-24,0,0.05,No,10.0,29.9,Two year,Credit card,DSL,1.0,2.0,1.0,0.0,Male,1.0,0.0,0.0,7-12,0.0,0.1,0.0,0.01,0.0266394620132335,0.0,0.0,0.897
CUST100074,14,24.07,328.1,Month-to-month,Bank transfer,DSL,1,1,1,1,Female,0,0,1,1,13-24,0,0.071428571,Yes,6.0,39.75,Month-to-month,Bank transfer,DSL,2.0,1.0,1.0,0.0,Female,0.0,0.0,1.0,4-6,0.0,0.3333333333333333,0.0,0.03,0.1278816684888039,0.0,0.0,3.5775
CUST100075,15,85.43,1314.24,Month-to-month,Credit card,DSL,0,2,1,0,Male,0,0,0,0,13-24,0,0.0,No,0.0,97.46,Month-to-month,Electronic check,Fiber optic,0.0,2.0,1.0,0.0,Male,1.0,0.0,1.0,0-3,1.0,0.0,1.0,0.53,0.4092876788937838,1.0,0.0,154.9614
CUST100076,17,87.16,1529.92,One year,Mailed check,Fiber optic,0,1,0,0,Female,0,0,0,0,13-24,0,0.0,No,15.0,91.1,Month-to-month,Electronic check,Fiber optic,1.0,1.0,1.0,0.0,Female,1.0,0.0,1.0,13-24,1.0,0.0666666666666666,0.0,0.29,0.3338278631202823,0.0,0.0,79.25699999999999
CUST100077,0,68.13,-1.0,Month-to-month,Electronic check,Fiber optic,1,1,1,0,Female,0,0,1,1,0-3,0,1.0,Yes,1.0,78.99,One year,Bank transfer,Fiber optic,0.0,1.0,1.0,0.0,Female,1.0,1.0,1.0,0-3,0.0,0.0,0.0,0.13,0.1703628980134038,0.0,0.0,30.8061
CUST100078,5,103.73,480.09,Two year,Bank transfer,DSL,1,1,1,0,Female,1,0,1,1,04-Jun,1,0.2,Yes,1.0,65.65,Month-to-month,Bank transfer,DSL,1.0,1.0,1.0,0.0,Female,1.0,0.0,0.0,0-3,0.0,1.0,0.0,0.42,0.1942674171039035,0.0,0.0,82.719
CUST100079,1,59.98,-28.72,Month-to-month,Mailed check,DSL,0,2,1,0,Female,0,0,0,0,0-3,0,0.0,No,8.0,78.73,Two year,Credit card,DSL,0.0,3.0,1.0,0.0,Male,0.0,0.0,1.0,7-12,0.0,0.0,0.0,0.15,0.1388794402210088,0.0,0.0,35.4285
CUST100080,23,86.94,1965.32,Month-to-month,Electronic check,Fiber optic,0,1,1,0,Female,1,0,1,0,13-24,0,0.0,No,12.0,94.32,Month-to-month,Electronic check,Fiber optic,5.0,1.0,0.0,0.0,Male,1.0,0.0,0.0,7-12,1.0,0.4166666666666667,1.0,0.5,0.5244715724515557,0.0,1.0,141.48
